dataset,snr_db,seed,method,errors,symbol_count,ser,fixes_vs_savaux,breaks_vs_savaux
0_0_0_10_14_32,-18.0,42,ordinary_fft,33,105,0.3142857142857143,0,2
0_0_0_10_14_32,-18.0,42,savaux,31,105,0.29523809523809524,0,0
0_0_0_10_14_32,-18.0,42,branch_gls,30,105,0.2857142857142857,1,0
0_0_0_10_14_32,-18.0,42,savaux_dual,31,105,0.29523809523809524,0,0
0_0_0_10_14_32,-18.0,42,proposed,30,105,0.2857142857142857,1,0
0_0_0_10_14_32,-20.0,42,ordinary_fft,47,105,0.44761904761904764,0,12
0_0_0_10_14_32,-20.0,42,savaux,35,105,0.3333333333333333,0,0
0_0_0_10_14_32,-20.0,42,branch_gls,33,105,0.3142857142857143,2,0
0_0_0_10_14_32,-20.0,42,savaux_dual,35,105,0.3333333333333333,0,0
0_0_0_10_14_32,-20.0,42,proposed,34,105,0.3238095238095238,1,0
0_0_0_10_14_32,-22.0,42,ordinary_fft,72,105,0.6857142857142857,1,29
0_0_0_10_14_32,-22.0,42,savaux,44,105,0.41904761904761906,0,0
0_0_0_10_14_32,-22.0,42,branch_gls,46,105,0.4380952380952381,1,3
0_0_0_10_14_32,-22.0,42,savaux_dual,44,105,0.41904761904761906,0,0
0_0_0_10_14_32,-22.0,42,proposed,44,105,0.41904761904761906,0,0
